emoji_level,font_file,cp_seq,supported
1.0,api_level/21/NotoColorEmoji.ttf,"(169,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(174,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(8252,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(8265,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(8482,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(8505,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(8596,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(8597,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(8598,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(8599,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(8600,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(8601,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(8617,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(8618,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(8986,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(8987,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9000,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9167,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9193,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9194,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9195,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9196,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9197,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9198,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9199,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9200,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9201,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9202,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9203,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9208,)",False
